MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,Run,fill_rate,cost,lost_demand,bullwhip
15,14,30,DQN,16,100.0,132968.5,0,5.891366599765748
15,14,30,DQN,17,100.0,133195.0,0,5.543461743268416
15,14,30,DQN,18,100.0,133373.0,0,6.989971280701756
15,14,30,DQN,19,100.0,133122.0,0,9.759092294084198
15,14,30,DQN,20,100.0,132552.0,0,5.848315122040315
15,14,30,DQN,21,100.0,133792.0,0,5.848315122040315
15,14,30,DQN,22,100.0,133480.0,0,10.583407150434397
15,14,30,DQN,23,100.0,133746.0,0,7.34175011846812
15,14,30,DQN,24,100.0,133389.5,0,6.010353653090317
15,14,30,DQN,25,100.0,134107.5,0,5.6091945713523055
15,14,30,DQN,26,100.0,132692.0,0,5.795238359201238
15,14,30,DQN,27,100.0,133480.5,0,6.516671269989641
15,14,30,DQN,28,100.0,130996.5,0,6.741619068144812
15,14,30,DQN,29,100.0,134220.5,0,7.856217131669745
15,14,60,DQN,0,95.9141791044776,129187.5,219,10.171851679283897
15,14,60,DQN,1,94.54976303317537,130578.0,299,11.58399881671808
15,14,60,DQN,2,96.75050486506332,129989.0,177,10.04898243176542
15,14,60,DQN,3,95.90917282393224,129034.5,227,11.208906376650017
15,14,60,DQN,4,94.82229839437127,130187.5,287,10.21896996862286
15,14,60,DQN,5,93.47035285558384,128047.0,359,10.48101877445949
15,14,60,DQN,6,95.42040666788787,128403.5,250,11.234769859401098
15,14,60,DQN,7,93.86869234943028,128726.5,339,10.5129586400897
15,14,60,DQN,8,95.3765577027271,129509.0,256,10.36302350707404
15,14,60,DQN,9,96.2894591102086,129583.0,201,10.455564142718618
15,14,60,DQN,10,93.55604235122308,128907.5,353,10.828793838904888
15,14,60,DQN,11,94.89550582578138,130289.0,276,10.461664553047552
15,14,60,DQN,12,94.56898122835794,129436.5,298,10.961757619365194
15,14,60,DQN,13,93.53778751369111,128993.5,354,10.274520533334114
15,14,60,DQN,14,95.7888929753586,129262.0,229,10.71439562445301
15,14,60,DQN,15,95.04587155963304,129194.5,270,10.200590290976107
15,14,60,DQN,16,96.01108033240996,129637.0,216,10.52710982575668
15,14,60,DQN,17,96.68211306765524,129105.0,179,10.174557057149402
15,14,60,DQN,18,95.4537088164918,129261.5,247,10.634819850708393
15,14,60,DQN,19,95.2728600109509,129671.5,259,10.484002354688576
15,14,60,DQN,20,93.51000540832882,129201.5,360,10.981483588191107
15,14,60,DQN,21,95.81566820276498,130045.0,227,10.711009039448504
15,14,60,DQN,22,96.0638692907538,128972.0,212,10.677669936187096
15,14,60,DQN,23,95.56836606016934,128777.0,246,10.46991239174002
15,14,60,DQN,24,95.64819893947704,129484.5,238,10.485553480901146
15,14,60,DQN,25,94.18647166361974,129780.0,318,10.025051500954866
15,14,60,DQN,26,95.4779411764706,129517.5,246,9.901624071554837
15,14,60,DQN,27,96.95197589934432,129235.0,172,10.15708238802574
15,14,60,DQN,28,93.51734156528056,128755.5,357,10.940395328921475
15,14,60,DQN,29,95.71955719557197,129350.0,232,10.50367272918866
15,14,90,DQN,0,80.42113040265977,79445.0,1060,21.407471882033587
15,14,90,DQN,1,79.76011994002998,82199.0,1080,21.50495876284714
15,14,90,DQN,2,82.65287271383706,79323.0,939,21.177095678406065
15,14,90,DQN,3,80.97328942553969,82644.5,1040,21.090671239574984
15,14,90,DQN,4,82.62750045053163,81051.5,964,20.65591117977289
15,14,90,DQN,5,82.34763793725207,81997.5,979,21.20549125104388
15,14,90,DQN,6,80.82267926625903,79668.5,1035,21.35446113979674
15,14,90,DQN,7,85.13711151736746,83864.5,813,20.243405316553915
15,14,90,DQN,8,80.84380610412927,79348.0,1067,21.128362602467263
15,14,90,DQN,9,85.01906664245506,82899.0,825,20.15248060439557
15,14,90,DQN,10,86.67992047713717,82981.5,737,20.03768264644754
15,14,90,DQN,11,85.58344019051108,81593.0,787,20.062266242950404
15,14,90,DQN,12,85.60029017047516,83466.5,794,20.442040629127018
15,14,90,DQN,13,80.62127505869604,79835.0,1073,21.21044624617417
15,14,90,DQN,14,78.69276218611522,81530.5,1154,22.166003406386707
15,14,90,DQN,15,78.2656221533977,80734.0,1193,21.88850781241338
15,14,90,DQN,16,82.01705598813497,79884.5,970,21.363305398258262
15,14,90,DQN,17,82.92456335934597,81353.0,919,21.269639701416786
15,14,90,DQN,18,83.37572674418605,79479.0,915,20.84815698305949
15,14,90,DQN,19,79.40694924504274,83027.5,1132,21.829044002639723
15,14,90,DQN,20,79.18168709444845,82464.0,1155,21.653254987516032
15,14,90,DQN,21,78.61375471359311,82075.5,1191,21.47544459867076
15,14,90,DQN,22,82.2044906290592,81748.5,959,21.043521549680317
15,14,90,DQN,23,79.25561029009305,80627.0,1137,21.54709319712318
15,14,90,DQN,24,79.01506798970966,84017.5,1142,21.97834106738519
15,14,90,DQN,25,87.01940681069206,82846.5,709,19.81701491623182
15,14,90,DQN,26,83.64125560538118,80722.5,912,20.28865320634303
15,14,90,DQN,27,87.07824838478105,83233.0,720,19.991428700632245
15,14,90,DQN,28,85.67751424894283,80956.0,779,20.321553446938516
15,14,90,DQN,29,78.58578476155674,81725.5,1172,21.77935723515
20,3,10,DQN,0,96.7983651226158,54234.5,235,12.725872567883073
20,3,10,DQN,1,98.73314262362076,52817.5,93,12.271709673977252
20,3,10,DQN,2,98.08917197452227,53831.0,138,12.097294322722275
20,3,10,DQN,3,96.31809471667124,57511.5,269,12.219224153730943
20,3,10,DQN,4,96.01631543167912,53970.5,293,13.714511342182442
20,3,10,DQN,5,97.09246245004825,55290.5,211,12.275149772317258
20,3,10,DQN,6,95.21209575808484,57931.0,342,11.703954388176264
20,3,10,DQN,7,96.66574813998346,55344.0,242,12.248827594679147
20,3,10,DQN,8,96.91611842105264,55276.5,225,12.33241955030404
20,3,10,DQN,9,99.31796480698404,51445.0,50,12.245533344166455
20,3,10,DQN,10,95.4328561690525,55406.5,335,12.155788028172053
20,3,10,DQN,11,96.14267938614682,56619.0,279,12.220836548179673
20,3,10,DQN,12,97.80100447943532,53403.5,162,12.213924787571646
20,3,10,DQN,13,96.0071595759328,56837.5,290,12.474782218761051
20,3,10,DQN,14,97.9033601777284,56677.0,151,12.215768306115187
20,3,10,DQN,15,95.72765495727656,55081.5,315,12.09520002994198
20,3,10,DQN,16,94.9017452246805,56051.0,371,12.005503210495238
20,3,10,DQN,17,96.7896174863388,57494.5,235,12.129516239154352
20,3,10,DQN,18,97.98547348225298,52260.5,147,12.532038131666114
20,3,10,DQN,19,96.58363958078128,54900.5,251,12.19116513760159
20,3,10,DQN,20,96.06135986733004,55576.5,285,12.669048312242106
20,3,10,DQN,21,96.18877270225646,56558.0,277,12.306143626311128
