MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,LOW_best_FR,LOW_best_cost,LOW_QL_advantage_pp,LOW_QL_cost_premium_pct,BASE_best_FR,BASE_best_cost,BASE_QL_advantage_pp,BASE_QL_cost_premium_pct,HIGH_best_FR,HIGH_best_cost,HIGH_QL_advantage_pp,HIGH_QL_cost_premium_pct
25,3,30,QL,ROP,42.92450568357623,489.0919772831125,QL,"(s,S)",30.93230012803963,84.5532105617832,SARSA,"(s,S)",42.604861689561474,11.72269518263205
25,3,60,QL,ROP,39.18580155768327,391.156156721994,SARSA,"(s,S)",27.187996896425677,86.68822170900692,DQN,"(s,S)",38.62953979263647,13.695727485609105
25,3,90,DQN,ROP,35.48814142087438,310.5287519372526,QL,"(s,S)",26.398662897888784,103.3436878767283,QL,"(s,S)",35.88968453297225,12.147943039885904
25,7,10,SARSA,ROP,47.22479033232979,550.8227473125311,DQN,"(s,S)",36.05291500556655,44.22306894039302,DQN,"(s,S)",47.64305939621268,14.861019658495088
25,7,30,QL,ROP,49.78042058358865,480.659361586804,DQN,"(s,S)",35.308987411557204,60.848813055021175,DQN,"(s,S)",49.73522361228447,5.565754352207929
25,7,60,SARSA,ROP,45.28392288135677,381.2518864737743,SARSA,"(s,S)",28.250701328553383,49.7093033360423,QL,"(s,S)",45.393624061456975,2.806649748592028
25,7,90,QL,ROP,41.61197089585941,304.80020002260534,QL,"(s,S)",25.984445794219425,53.07201989129469,QL,"(s,S)",41.62960369286184,3.3005080208043407
25,14,10,QL,ROP,56.08387115375452,546.6463525573787,DQN,"(s,S)",30.63068317707605,22.018489009913235,QL,DQN,56.07037343819283,-0.6611722199685477
25,14,30,SARSA,ROP,56.93131986803947,469.9003487002663,DQN,"(s,S)",28.429799318809398,16.64725920674832,DQN,"(s,S)",56.69004814972242,-7.7302297475947235
25,14,60,DQN,ROP,52.75803061227569,373.3979750049955,DQN,"(s,S)",21.586753917922174,24.47751558540415,QL,"(s,S)",52.93753616597297,-9.443144138033134
25,14,90,SARSA,ROP,47.00754359084354,275.38709433203275,DQN,"(s,S)",19.348169883575103,29.04027775365473,DQN,QL,46.75164245298599,-20.54018636060899
