R_value,s_value,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_ci95,p_QL_vs_ROP
60,60,20,14,90,ROP,38.64663320320744,1.866307242157894,0.6678494694998882,59883.6,497.8337544453925,3.019859359162157e-11
60,60,20,14,90,"(s,S)",47.498210671591,2.192847786921908,0.784700502740642,57747.93333333333,607.2500801790444,
60,60,25,3,10,ROP,54.25991340874517,2.701039125806207,0.966554437833288,51824.61666666667,768.0989763746302,2.5206075343748486e-11
60,60,25,3,10,"(s,S)",66.6447704870224,2.802844673598247,1.00298508523647,46998.66666666666,709.1402212252433,
60,60,25,3,30,ROP,52.10890345059422,3.0927375440076856,1.1067219166334754,55343.26666666667,919.1375614792672,2.8003238673915385e-11
60,60,25,3,30,"(s,S)",62.760348174608,2.6031502807645666,0.9315253645090976,51626.333333333336,682.1510028222058,
60,60,25,3,60,ROP,46.9292249143608,2.544564254314561,0.9105606241914728,62222.78333333333,770.7446607473278,3.000982378980083e-11
60,60,25,3,60,"(s,S)",57.39350505145886,2.175707480049986,0.7785669226993177,58216.71666666667,625.6839192470161,
60,60,25,3,90,ROP,42.94944922619497,2.4793882868056434,0.8872377037517256,68207.06666666667,812.855099437811,2.999100614022856e-11
60,60,25,3,90,"(s,S)",51.45980313337001,2.1440832129432947,0.767250324052834,65179.23333333333,559.4572793721727,
60,60,25,7,10,ROP,48.87457649313413,1.4000613514225753,0.5010055202560039,55809.3,475.6915730027589,3.019859359162157e-11
60,60,25,7,10,"(s,S)",61.00916867400165,2.38843015241192,0.8546887533809868,50743.16666666666,684.3751447311801,
60,60,25,7,30,ROP,46.205969067635074,2.0558216279552206,0.7356663214942042,59729.18333333333,646.192388501819,3.019859359162157e-11
60,60,25,7,30,"(s,S)",57.74947749289349,1.946623873520352,0.6965904069167176,54839.9,599.4873281679363,
60,60,25,7,60,ROP,42.15448858764831,1.5313836183861074,0.54799858996285,65683.2,474.86317983386647,3.019859359162157e-11
60,60,25,7,60,"(s,S)",52.57889042454998,1.7470448589999563,0.6251719737885029,61306.66666666666,580.3744863046702,
60,60,25,7,90,ROP,38.15224759637076,1.6323651347923984,0.584134361521695,71623.63333333333,570.6259995018846,3.019859359162157e-11
60,60,25,7,90,"(s,S)",47.797725309856695,1.97539338688694,0.7068854450570778,67501.76666666666,607.8836500286618,
60,60,25,14,10,ROP,41.399574632611134,1.771664864692733,0.6339821296779445,61409.333333333336,572.2452728861431,3.019859359162157e-11
60,60,25,14,10,"(s,S)",53.35240800872599,2.4386517699995003,0.8726603284280359,55892.18333333333,701.8568038885013,
60,60,25,14,30,ROP,39.8603627161012,1.8653800529381757,0.6675176790987541,64525.35,597.7554268044422,3.019859359162157e-11
60,60,25,14,30,"(s,S)",50.47747338050693,1.888479369714602,0.6757836634482063,59577.55,613.823154776009,
60,60,25,14,60,ROP,35.999999448863804,1.3770058544357768,0.4927552166168847,70300.36666666667,493.8867733183277,3.019859359162157e-11
60,60,25,14,60,"(s,S)",45.98884368592486,1.9324361615752863,0.6915133994005417,65735.88333333333,649.5730105093943,
60,60,25,14,90,ROP,32.83058066635538,1.5537740894999,0.5560109171496154,75684.95,522.9412691344985,3.019859359162157e-11
60,60,25,14,90,"(s,S)",41.645475133261215,2.433914395830923,0.8709650808536609,71559.03333333334,809.1919067571783,
80,80,15,3,10,ROP,80.56701391797151,3.301816198998756,1.181539752446022,24985.483333333334,552.9388678375774,1.211780397005976e-12
80,80,15,3,10,"(s,S)",85.47407012004828,2.5813965294423507,0.9237408845735344,28355.55,348.7221186835908,
80,80,15,3,30,ROP,76.5723718267774,3.804756716514596,1.3615147052434973,28419.766666666663,616.5519647473177,6.025266196936119e-11
80,80,15,3,30,"(s,S)",81.1302082684589,2.383286075235687,0.852847969004433,31648.216666666667,428.67832156088855,
80,80,15,3,60,ROP,69.67158590567605,2.721226779389108,0.973778496890252,34002.88333333333,477.561629411959,1.9558095152782195e-11
80,80,15,3,60,"(s,S)",74.14985800182485,2.374165775367436,0.8495843116113185,36708.6,416.5326001900181,
80,80,15,3,90,ROP,62.74546566223825,2.773002228276129,0.992306103326765,39641.35,449.47507785119,1.6178940395786835e-11
80,80,15,3,90,"(s,S)",66.99023576614879,2.1698988579178544,0.7764883339643868,42021.53333333333,444.232262464346,
80,80,15,7,10,ROP,73.9942492217218,2.804322534617266,1.0035139310102266,26972.4,445.06212270539766,1.211780397005976e-12
