MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,DQN_fill_rate_mean,DQN_fill_rate_sd,DQN_fill_rate_ci95,DQN_cost_mean,DQN_cost_sd,DQN_cost_ci95,DQN_lost_demand_mean,DQN_lost_demand_sd,DQN_lost_demand_ci95,DQN_bullwhip_mean,DQN_bullwhip_sd,DQN_bullwhip_ci95,p_DQN_vs_ROP_fill_rate,p_DQN_vs_ROP_cost,p_DQN_vs_ROP_lost_demand,p_DQN_vs_ROP_bullwhip
20,3,10,96.78938097621035,1.1708890985325204,0.418997282780725,55191.71666666667,1964.008066224628,702.8112603823082,233.96666666666667,85.00283294805769,30.417873117563108,12.345948879197875,0.3413995925862701,0.1221682752152814,3.019859359162157e-11,3.019859359162157e-11,3.017966798490446e-11,3.0141849228072565e-11
20,3,30,99.9329634189152,0.1914527283707363,0.0685104789760469,134204.55,1098.684372721333,393.1591534850199,4.9,14.003324728373473,5.011025398082701,8.025099576925426,0.2247544908635041,0.0804273616370662,5.219031408673294e-12,3.019859359162157e-11,5.207656421321475e-12,2.984085202574315e-11
20,3,60,92.50738036099864,0.7087807775056058,0.253633943841702,131415.45,559.1290232631217,200.0817513500678,546.1333333333333,53.846354426808425,19.268670466534346,14.873081217501648,0.2406511127565842,0.0861158947243936,3.019859359162157e-11,3.019859359162157e-11,3.016075319890922e-11,3.0104073709630884e-11
20,3,90,82.49619117971345,1.4105545433131956,0.5047604607498363,100809.75,815.8582930327698,291.9511406701825,1276.8666666666666,104.69157767834815,37.46339993448727,9.991317424057788,0.360548722114372,0.1290207032120461,1.4109773081080244e-09,3.019859359162157e-11,2.918609120673782e-09,0.4464068031946646
20,7,10,100.0,0.0,0.0,135895.95,606.3795521015667,216.99013594265932,0.0,0.0,0.0,14.472689593189612,0.330402433839765,0.118232992498183,1.2117803970059759e-12,3.019859359162157e-11,1.2107913587996517e-12,3.004749140670014e-11
20,7,30,95.7091993771518,8.37631158750687,2.9974246060440213,109359.86666666668,16100.825434469638,5761.606386142466,314.4,614.0286188994663,219.72731934298736,11.060950319247688,0.3420903608794498,0.1224154634743882,1.9558095152782195e-11,3.019859359162157e-11,1.9545366422884504e-11,3.004749140670014e-11
20,7,60,92.35360975655398,0.6566826509577157,0.2349908686871971,131713.66666666666,629.5692743966846,225.28847149149288,557.2333333333333,48.954365331985166,17.51809465137574,13.86237736052822,0.4282350569312204,0.1532419470558824,3.019859359162157e-11,3.019859359162157e-11,3.019859359162157e-11,3.0122956066832855e-11
20,7,90,83.98421956498787,0.7656206287028943,0.2739738233701501,128805.01666666666,674.1616311279199,241.2456414118493,1167.0333333333333,60.935513303895256,21.80549339060373,13.900494904762532,0.6581328612956239,0.2355098197917941,3.019859359162157e-11,3.019859359162157e-11,3.016075319890922e-11,3.000982378980083e-11
20,14,10,99.71359320997576,0.3553759509263556,0.1271696508152464,121480.85,947.380154826256,339.0156344696371,20.966666666666665,25.94355056833883,9.283780340462696,22.991163571468004,0.7050461134709393,0.2522975114805285,2.3981963008797615e-11,3.019859359162157e-11,2.3935984744181864e-11,3.0104073709630884e-11
20,14,30,99.81071420162124,0.2609995357963585,0.0933974843926411,133903.3,697.2193861431228,249.4967530760556,13.766666666666667,18.94216849060416,6.778367940640085,9.389804487283063,0.1957773435880606,0.0700580226566585,2.1141724302377144e-11,3.019859359162157e-11,2.1128057006542668e-11,6.523318567722843e-11
20,14,60,92.14978555593224,0.6374684261142016,0.2281151466309748,122291.41666666669,556.9718169576065,199.3098049876488,573.1666666666666,47.44803570174452,16.979061515928546,19.955395697921297,0.2121804923848985,0.0759278140686178,3.019859359162157e-11,3.019859359162157e-11,3.0122956066832855e-11,3.004749140670014e-11
20,14,90,84.16644117538678,0.8212905661360399,0.2938950546347464,128420.4,736.6787935237353,263.61712066111176,1153.6333333333334,61.97356685318142,22.176956082567383,13.3494522162656,0.4508802808269235,0.1613454363548711,3.019859359162157e-11,3.019859359162157e-11,3.017966798490446e-11,3.004749140670014e-11
25,3,10,84.67686606307383,2.413657881773512,0.8637163803923599,46680.36666666667,2229.947053389282,797.9763047465445,1398.1666666666667,222.4957315876254,79.619075010916,14.011694473475863,0.1888133803517388,0.0675660004172673,3.019859359162157e-11,4.18250049245679e-09,3.019859359162157e-11,2.1333916449376822e-11
25,3,30,97.03857212145896,1.8490662291354856,0.6616798522254341,97950.06666666668,1542.903452704613,552.1209097312956,270.46666666666664,168.95943878346364,60.46135867107596,12.055848762679013,0.2644587067632409,0.0946353328256091,3.019859359162157e-11,3.019859359162157e-11,3.016075319890922e-11,3.0122956066832855e-11
25,3,60,89.73608737454228,0.7927807942991643,0.2836929638070833,98879.0,1659.519415269123,593.8513959956456,939.0333333333332,73.48444983679262,26.296072656959183,16.313029687466003,0.3551539792237926,0.1270902192616136,3.019859359162157e-11,3.019859359162157e-11,3.017966798490446e-11,3.0141849228072565e-11
25,3,90,81.3382667402896,0.9181357192350516,0.3285506475938282,103436.43333333332,1787.198422755249,639.5407420420601,1704.9333333333334,86.98352334398356,31.12665407296097,15.88065266603511,0.1909813775272957,0.0683418082429385,3.019859359162157e-11,3.019859359162157e-11,3.017966798490446e-11,3.006634138511715e-11
25,7,10,98.08752445111487,0.9738850231353592,0.3485002797839489,57512.28333333333,2649.9212762650704,948.2621503005288,174.96666666666667,89.65777206664252,32.083621688150366,12.894769829980085,0.2741794998129484,0.098113873943983,3.019859359162157e-11,3.019859359162157e-11,3.017966798490446e-11,3.017966798490446e-11
25,7,30,98.3189442776816,0.99755116796637,0.3569691009477263,122715.06666666668,9027.79304639322,3230.5542520519275,153.5,91.25135804374412,32.653879106312246,12.31995917128022,3.830772080908512,1.3708241838314033,3.017966798490446e-11,3.019859359162157e-11,3.017966798490446e-11,0.0083128107499763
25,7,60,87.33890496245095,2.057893985439703,0.7364079050959618,70214.06666666667,1349.318670556605,482.8474851094665,1155.5666666666666,189.20517659560667,67.7062029025327,15.411260820519963,0.483733447122804,0.1731017909284762,3.019859359162157e-11,3.019859359162157e-11,3.019859359162157e-11,2.9672748660399936e-11
25,7,90,82.46970826509853,0.869284101192279,0.3110693205876949,131622.38333333333,672.4705439432008,240.640493634634,1600.0,77.34294430963149,27.676817171337312,3.726252417426817,0.3767867138267892,0.1348313939203684,3.019859359162157e-11,3.017966798490446e-11,3.0141849228072565e-11,2.933913107864924e-11
25,14,10,99.5725735315504,0.4328069393259143,0.1548779741595344,136434.55,586.3019163101598,209.805446246766,39.06666666666667,39.556100129705214,14.15496864094208,4.489646089415848,0.3981378945295709,0.1424718158098863,2.721825672844365e-11,3.019859359162157e-11,2.7201043084698188e-11,3.006634138511715e-11
25,14,30,98.5560985340882,0.8084999163957655,0.2893179794079877,132498.51666666666,1956.2623161817137,700.039479327085,131.83333333333334,73.91051594878833,26.44853845703785,3.8826798975216414,2.19678112093787,0.7861080282415819,3.019859359162157e-11,3.019859359162157e-11,3.017966798490446e-11,8.360942924327342e-09
25,14,60,90.3335078447075,0.9522839779850912,0.3407704450502158,124047.58333333331,689.2223639392608,246.63505543282463,881.1666666666666,87.17682519210432,31.19582625094144,20.15560889726989,0.4026647746422731,0.1440917390537473,3.019859359162157e-11,3.019859359162157e-11,3.0122956066832855e-11,3.008520215091029e-11
25,14,90,81.78303848332345,1.101737080109471,0.3942515507943445,111354.36666666668,1998.8485130596864,715.2787541637871,1664.9,102.18925984459526,36.56795699773924,11.390155374004143,0.5595564867206589,0.2002347171838266,3.019859359162157e-11,3.019859359162157e-11,3.016075319890922e-11,2.9972199255851795e-11
