ratio,c_l_over_c_h,MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,Method,fill_rate_mean,fill_rate_sd,fill_rate_ci95,koszt_mean,koszt_sd,koszt_ci95,utracono_mean,bullwhip_mean,p_vs_ROP_fr,p_vs_ROP_k
BASE,20,20,7,60,"(s,S)",75.06103985275578,2.322308780982836,1.1752503958437088,33878.26666666667,1356.2124104951083,686.3381757562698,1820.9333333333332,13.598597260252848,1.935182771044248e-05,0.5614474146848649
BASE,20,20,7,60,QL,97.674248267615,4.078225110576183,2.063866663551937,78760.73333333334,8378.301852034787,4240.005742877453,168.0,20.00732225572036,2.737821349395807e-06,3.391821390825095e-06
BASE,20,20,7,60,SARSA,95.5986595506519,4.007513584469893,2.028081693987313,100876.4,15042.015218333328,7612.309992709789,320.06666666666666,17.827412414733356,3.3077867420930117e-06,3.391821390825095e-06
BASE,20,20,7,60,DQN,92.28763149234372,0.4113215380651498,0.208157418336732,131729.8,582.2782778510141,294.6734655354408,561.7333333333333,13.99560160242356,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,7,90,ROP,69.45179227346087,2.233754542674194,1.1304357680568626,34252.36666666667,1277.1806067980176,646.3425647764333,2219.333333333333,9.546283636525208,,
BASE,20,20,7,90,"(s,S)",74.837378404141,2.2309544483763264,1.1290187248286252,34004.5,1235.8656595971215,625.4343167218548,1838.6,13.583295137720516,1.935182771044248e-05,0.7400217511938185
BASE,20,20,7,90,QL,93.49621372122262,8.02623261191225,4.061834124526471,83234.16666666667,13011.524565699809,6584.739945691942,476.1333333333333,19.045723780908528,3.2254793450267944e-06,3.391821390825095e-06
BASE,20,20,7,90,SARSA,92.64312890503037,5.749848411125448,2.909824772895456,94341.73333333334,14405.804929743064,7290.343163996725,536.8666666666667,17.84747802871969,3.3579984952572477e-06,3.391821390825095e-06
BASE,20,20,7,90,DQN,83.75263633297428,0.67345073098277,0.3408130928367639,128866.8,659.7822368024165,333.89588039387365,1184.1333333333334,13.840644676063691,3.391821390825095e-06,3.391821390825095e-06
BASE,20,20,14,10,ROP,57.69516770090721,2.4696047901083857,1.249792461243702,40783.96666666667,1291.3205376483334,653.4983570918733,3078.333333333333,8.768960701010723,,
BASE,20,20,14,10,"(s,S)",64.93531967089021,2.091381258492889,1.058384945202534,39119.6,1259.2943630689144,637.2908765621341,2563.866666666667,12.816566817472795,6.151638741096579e-06,0.0024626042007544
