MEAN_DEMAND,LEAD_MODE,DISRUPT_DAYS,"(s,S)_fill_rate_mean","(s,S)_fill_rate_sd","(s,S)_fill_rate_ci95","(s,S)_cost_mean","(s,S)_cost_sd","(s,S)_cost_ci95","(s,S)_lost_demand_mean","(s,S)_lost_demand_sd","(s,S)_lost_demand_ci95","(s,S)_bullwhip_mean","(s,S)_bullwhip_sd","(s,S)_bullwhip_ci95",QL_fill_rate_mean,QL_fill_rate_sd,QL_fill_rate_ci95,QL_cost_mean,QL_cost_sd,QL_cost_ci95,QL_lost_demand_mean,QL_lost_demand_sd,QL_lost_demand_ci95,QL_bullwhip_mean,QL_bullwhip_sd,QL_bullwhip_ci95,ROP_fill_rate_mean,ROP_fill_rate_sd,ROP_fill_rate_ci95,ROP_cost_mean,ROP_cost_sd,ROP_cost_ci95,ROP_lost_demand_mean,ROP_lost_demand_sd,ROP_lost_demand_ci95,ROP_bullwhip_mean,ROP_bullwhip_sd,ROP_bullwhip_ci95,SARSA_fill_rate_mean,SARSA_fill_rate_sd,SARSA_fill_rate_ci95,SARSA_cost_mean,SARSA_cost_sd,SARSA_cost_ci95,SARSA_lost_demand_mean,SARSA_lost_demand_sd,SARSA_lost_demand_ci95,SARSA_bullwhip_mean,SARSA_bullwhip_sd,SARSA_bullwhip_ci95,p_QL_vs_ROP_fill_rate,p_SARSA_vs_ROP_fill_rate,p_QL_vs_SARSA_fill_rate,p_QL_vs_ROP_cost,p_SARSA_vs_ROP_cost,p_QL_vs_SARSA_cost,p_QL_vs_ROP_lost_demand,p_SARSA_vs_ROP_lost_demand,p_QL_vs_SARSA_lost_demand,p_QL_vs_ROP_bullwhip,p_SARSA_vs_ROP_bullwhip,p_QL_vs_SARSA_bullwhip
15,14,60,76.05120695572276,2.505551758793633,0.9119277910918095,28813.43333333333,880.8588019023758,320.59989128676904,1310.0333333333333,138.7913261779072,50.51488841127005,13.489965479998734,0.2339052718704737,0.0851328323803104,96.99604077486111,3.865652810702544,1.4069540636786206,77386.2,9701.89657455352,3531.130052126174,165.36666666666667,213.30299002957165,77.63436690072655,22.38874781388076,2.6223391221079813,0.9544340541857196,70.10139188710643,2.7371630899083543,0.9962257142275012,28075.18333333333,1107.4047474714123,403.0542021979301,1639.0666666666666,154.91458578484108,56.38315613591299,9.751227253148244,0.1779996086931676,0.0647852471620548,97.30854945903884,3.283515081274515,1.1950775491163732,91955.63333333332,11302.12940698443,4113.555375007521,147.93333333333334,180.9734664406789,65.86762094147944,21.0782887146054,3.725723053113994,1.356024828512001,0.0,0.0,0.9876,0.0,0.0,0.0,0.0,0.0,0.9876,0.0,0.0,0.2282
15,14,90,75.59452817883543,2.106753255995822,0.7667799463223887,28977.416666666668,845.2316160214443,307.6329187190748,1336.1666666666667,117.78174259573886,42.86818022390048,13.441926231064487,0.2248828447073319,0.081849003960365,96.5477153948892,5.892640150786774,2.144702178889807,73831.33333333333,12413.041171373849,4517.886001122912,189.46666666666667,322.3672577804528,117.32971002347006,21.20381543617702,3.46576423946844,1.2614094744804487,69.27898552182937,2.9801730313775425,1.0846723082200538,28294.8,1120.748764591482,407.9109288705636,1682.0,165.83284757047784,60.35699795250821,9.714123668436567,0.1981266254818728,0.0721107338126395,92.90535900329014,6.983983468571344,2.541910617157819,91376.13333333332,10224.776827991029,3721.439046083008,387.3333333333333,381.76924385753705,138.94982693369653,22.68973393293758,3.877228323309108,1.4111671203855962,0.0,0.0,0.0548,0.0,0.0,0.0,0.0,0.0,0.0589,0.0,0.0,0.0933
20,3,10,82.01119890063033,3.834186754829775,1.3955015879012926,30908.166666666668,1908.2442206267924,694.530029512446,1313.0333333333333,284.52890694776323,103.55795552975115,14.16299010165056,0.3237720078326703,0.1178409868740315,99.95376728005128,0.2489708164060165,0.0906161310995145,88074.25,11982.720918576882,4361.265409982481,3.3666666666666667,18.130054850686168,6.598666666666667,20.84476379534836,4.0468862731011495,1.4729163134932706,77.72477018707794,3.1306118188931262,1.1394264400044516,30423.483333333334,1666.875667645577,606.6808399729873,1626.5,235.05499356533568,85.55128837982672,10.07702411826684,0.2001535211643959,0.0728484485679024,99.98634905674248,0.0541096111210457,0.0196938889700726,107600.23333333334,14425.667171592291,5250.407121962515,1.0,3.958114029012639,1.440606513395237,18.48515319986078,4.94073141819499,1.7982427514256591,0.0,0.0,0.5972,0.0,0.0,0.0,0.0,0.0,0.5972,0.0,0.0,0.0484
20,3,30,81.83702297611687,3.4414504383534785,1.2525601538204407,31038.88333333333,1750.6983924676715,637.1891988691984,1325.8,254.8363396378154,92.75096372693852,14.119104513776533,0.3175244880133273,0.1155671216750149,99.43711122654268,1.132189740571568,0.4120750192418108,90636.05,11195.133952860948,4074.613003215261,40.86666666666667,82.0165565941143,29.850980737208285,19.00257258294155,2.604097634510244,0.9477948301374236,77.4050514217587,3.0609420385110444,1.114069227284059,30629.616666666665,1710.595781608138,622.5933378139246,1650.6333333333334,230.24848654346363,83.801898323948,10.035745473427676,0.1650130858545429,0.0600586351315405,99.24276076385684,1.2194751731678082,0.4438436751726334,108312.63333333332,13105.449891764709,4769.897061242764,55.53333333333333,89.98841900797878,32.75244260342153,17.05333144640219,3.7698188342033534,1.3720740552358783,0.0,0.0,0.2471,0.0,0.0,0.0,0.0,0.0,0.2369,0.0,0.0,0.0537
20,3,60,81.52975730861286,3.42837527925644,1.2478012814835635,31156.916666666668,1694.3048922952312,616.6640591016009,1348.0333333333333,253.9419203063742,92.42542830649931,14.129029696974785,0.3172946561431717,0.1154834714095842,97.6580853329642,3.9939591573277458,1.4536528089152054,87457.31666666667,11309.178438686677,4116.1209607660285,171.7,293.6952104932368,106.8941496097032,19.059858289057964,3.4445399884723225,1.2536846353265425,77.91048780530522,3.4874460291468865,1.2693008407230295,30400.033333333333,1954.788172383108,711.4702994409573,1615.7,265.1010059078112,96.48692104853016,10.084046911342508,0.1941971498018936,0.0706805505947451,96.5779410964242,3.7445105107630017,1.362862765383175,108985.03333333334,9358.139621859797,3406.015287507073,250.1,274.1211836639652,99.76993076786856,17.77987371776859,2.8980407436280946,1.054779205640232,0.0,0.0,0.3516,0.0,0.0,0.0,0.0,0.0,0.3434,0.0,0.0,0.0798
20,3,90,82.14615704271094,3.5039023406907965,1.2752903269841245,30914.2,1698.078083206619,618.0373604677026,1303.1333333333334,258.8895174050549,94.22616991064984,14.15203246352288,0.3378260983376867,0.1229561538886673,94.31271889409108,7.516461567344766,2.735712870380083,84455.26666666666,14371.265282809612,5230.606854777973,415.1666666666667,548.4360238188427,199.61034530657463,20.196424112061457,3.668317279876252,1.3351312589415931,77.35010173510942,2.8920646310123823,1.0526041225840406,30641.216666666667,1621.3150099190746,590.0984525545674,1658.9,223.70059603556416,81.418709349215,10.047731366241823,0.151708858685901,0.0552163905235406,94.1685850623704,6.602960366774425,2.4032323582245807,104618.45,10853.91959336196,3950.423648094322,424.03333333333336,477.8639613483691,173.92473541421364,17.670107545810385,2.787806580367543,1.0146580639985805,0.0,0.0,0.6071,0.0,0.0,0.0,0.0,0.0,0.6397,0.0,0.0,0.0051
20,7,10,75.95243442078412,2.817804700845933,1.0255762658073253,33472.76666666667,1523.6288028548454,554.5443009727572,1756.2,212.7351091537705,77.42767935142525,13.625176265208212,0.3039506803816481,0.1106267597899256,99.9918860678848,0.0303602392542703,0.0110499995950975,81510.18333333333,10073.74038402431,3666.467389545668,0.6,2.2449944320643653,0.8170946005248698,19.097860547005084,3.564075636633926,1.2971911720413234,69.64023467904089,2.372049701316624,0.86333800005918,34400.316666666666,1461.0127964493972,531.7544000226353,2218.9666666666667,185.57019935563167,67.54066101285683,9.600145749249243,0.1263797610394721,0.0459975396313211,99.99190938511327,0.0435692945561043,0.0158576051779934,101690.31666666668,15356.87629450476,5589.332660228377,0.6,3.2310988842807022,1.176,18.083950422798623,4.724711444805957,1.7196195034831696,0.0,0.0,0.5972,0.0,0.0,0.0,0.0,0.0,0.5972,0.0,0.0,0.5997
20,7,30,76.29709121899275,2.293470625558977,0.8347381346881255,33311.15,1289.3454809191626,469.2738724084215,1731.2,176.07789942711906,64.08581635606267,13.683468952190964,0.2437123674158505,0.0887022509510239,99.04517544994724,1.4578784233950484,0.5306136046326065,86600.1,13742.307216160369,5001.689476242165,69.8,106.25139999077658,38.67156372002202,18.54283556463817,3.4078387493851965,1.240326747279093,69.7886574447152,2.661133020265237,0.9685535924192544,34173.75,1588.7979457753588,578.2634487980907,2200.6666666666665,202.51573327083068,73.70820604876505,9.59401331654086,0.1713007906087997,0.0623471261545109,98.63278412011717,1.221554149672635,0.4446003454130803,101469.15,12888.75588911384,4691.0284916805085,100.26666666666668,89.93291326810719,32.73224057543453,16.734489570441436,4.333181538381672,1.5771171578585912,0.0,0.0,0.1075,0.0,0.0,0.0001,0.0,0.0,0.1092,0.0,0.0,0.0933
20,7,60,75.54540357610871,2.3729203145448627,0.863654870942145,33658.916666666664,1350.9087317020676,491.68060940830543,1784.5,179.64701500442473,65.38484187933933,13.588571467855829,0.2718414804452757,0.0989402034579983,96.63946236701904,4.024766777510373,1.4648656385537615,79479.83333333333,9285.697434166636,3379.649021484819,244.2,292.5183071194006,106.465800488491,19.92647397202488,2.548693824081824,0.9276299006823698,69.22768302593097,1.926359333176765,0.7011232577365679,34536.03333333333,1239.2102588162977,451.02651344339415,2244.233333333333,158.31017725409262,57.61902532805279,9.55103727751274,0.1191284332067477,0.0433583255940255,95.0391535813744,4.050584225036657,1.4742622306663145,101512.31666666668,14004.836278635636,5097.240305395958,361.26666666666665,294.8372357005736,107.3098043735861,17.60348206337717,3.394268654987416,1.2353877368732442,0.0,0.0,0.1524,0.0,0.0,0.0,0.0,0.0,0.1418,0.0,0.0,0.0061
20,7,90,75.21862383749531,2.530686535354925,0.9210759163255754,33832.95,1347.0559710593568,490.2783476149971,1809.1333333333328,191.24778575334028,69.60709161211462,13.554482281198185,0.2507908661312544,0.0912785616079997,95.65296267033892,6.6019704055615405,2.402872049107452,80410.71666666666,12972.692748412808,4721.57839128767,319.6333333333333,486.3028194676874,176.9961663743118,19.358932515406966,2.725782982875972,0.9920837778927172,69.11457277692571,2.168309296507734,0.7891840590514003,34531.75,1303.0716771664302,474.2696980903025,2250.0666666666666,166.89915784355802,60.745095292160336,9.544449969551126,0.1403360503256208,0.0510771106343499,93.62690704244868,5.930638733026817,2.1585322516652607,93417.71666666666,12458.57692026082,4534.459322648786,466.0,433.34251272328834,157.72058151542308,18.10688015944417,2.907622828440604,1.058266728660444,0.0,0.0,0.071,0.0,0.0,0.0004,0.0,0.0,0.0686,0.0,0.0,0.126
20,14,10,64.46290249049648,1.7250356312226494,0.6278489068184139,39322.21666666667,1110.088755335456,404.0310813839777,2597.633333333333,142.4178086554565,51.83479335579093,12.729739392160116,0.2647252113728039,0.0963501457937341,94.70607289025448,3.362247860720481,1.2237333569218558,66001.43333333333,7251.565657076331,2639.300596527614,387.76666666666665,246.66477701978897,89.77681840271134,18.87767744057577,3.1805166864883216,1.1575899584834022,57.22498579994065,2.0981607665978843,0.7636525992823042,41092.78333333333,1173.4713438010417,427.0999897352992,3120.266666666667,156.52240166258065,56.96834140567383,8.754709494622862,0.1646441683318411,0.0599243628538309,94.72930436411364,3.190881258614664,1.1613622778264832,65899.98333333334,9539.873442978977,3472.159649314104,386.1333333333333,233.75995284812052,85.07994165291156,19.624816698392724,2.6830769788917426,0.9765403784227148,0.0,0.0,0.9352,0.0,0.0,0.6204,0.0,0.0,0.9234,0.0,0.0,0.3255
20,14,30,64.4622011165655,1.843186454487764,0.6708514186993544,39353.9,1167.533307162298,424.93876492069046,2598.0333333333333,150.49883351338272,54.77598629765808,12.714676928200271,0.2280037719369043,0.082984905569515,92.18532043774076,5.264260875607556,1.9159954589544097,63139.53333333333,7798.564801651362,2838.387971151074,572.0,386.369425981577,140.62412238908783,19.285444155983164,2.971196434544259,1.0814051603381678,57.34377110502327,2.44314855078277,0.889215340854586,41018.55,1524.9075400932786,555.0097138388609,3108.6,194.4514678096654,70.77311290492226,8.774682926513178,0.1462545913364855,0.0532312397644233,92.07781247501032,4.506813170375795,1.6403126237165004,65648.28333333334,8922.500985040884,3247.459002092401,579.9333333333333,332.1319951799619,120.88371180214948,18.85822775834329,3.139339896284098,1.1426031360386455,0.0,0.0,0.5895,0.0,0.0,0.3871,0.0,0.0,0.5642,0.0,0.0,0.5997
20,14,60,64.17295650560204,2.2260061275004994,0.810183562835574,39491.76666666667,1256.8974549350564,457.4639959781605,2620.0333333333333,172.22320465669608,62.68285061209515,12.67802106580699,0.2940983397382319,0.1070408736838009,89.58217438741198,5.520567368524224,2.009281503877514,62595.566666666666,4490.626473988778,1634.4212673597694,763.3666666666667,406.6271415218397,147.99717853145728,19.664845994591143,1.98175345079336,0.7212846593680803,56.48044207591527,1.9360871516857467,0.7046638224101585,41482.833333333336,1290.470084461042,469.6831863330693,3173.4,161.31203716193448,58.711590853916576,8.703141188015184,0.1508956701088952,0.0549204200810353,89.33080512659136,4.933268630528919,1.7955265738620458,68008.35,8237.488125585776,2998.139760691796,781.1,363.5151853774474,132.30602755107125,18.826827120343488,2.235943935627544,0.8138005559317186,0.0,0.0,0.6735,0.0,0.0,0.0038,0.0,0.0,0.6843,0.0,0.0,0.126
20,14,90,64.3580184878244,2.1350139624588587,0.7770657939521894,39423.75,1316.5200830852018,479.16441840895845,2607.5333333333333,168.88452333539098,61.46769460032584,12.72531054670318,0.2924054144196042,0.1064247117382808,83.94156759026421,6.61899919323542,2.4090698954197105,64978.43333333333,8197.445384318755,2983.565689944809,1171.2,482.81379433483465,175.72629079848326,19.453244399885527,2.2312666187396286,0.812098186286844,57.07295017876277,2.5350427314234527,0.9226614099177124,41211.76666666667,1509.7612324102406,549.4970203332836,3132.833333333333,195.55818969185503,71.17591856951731,8.712447334172303,0.1673945678965256,0.0609254061533117,86.6139367727842,5.871693994644596,2.137078555935078,67637.08333333333,8721.997852253935,3174.483307877476,979.5333333333332,429.5867575033269,156.35362609348837,19.14705234748096,2.0702479390586523,0.7534933666615286,0.0,0.0,0.1188,0.0,0.0,0.3953,0.0,0.0,0.1171,0.0,0.0,0.6843
25,3,10,73.15991551246051,1.890753908460217,0.6881642054245609,40225.55,1300.0544626412131,473.1715440539412,2448.9666666666667,176.6022807201412,64.27667167268392,13.701171424898584,0.2570897368617452,0.0935711166316464,99.16828596690672,1.1441097728999252,0.4164134683330304,81791.53333333334,13605.271934641936,4951.81372287241,76.2,105.10895933902748,38.255757749801454,17.348100009120685,3.1004053697937684,1.1284324143144109,67.65094374097002,2.554200258829288,0.9296340384370272,42060.18333333333,1875.24326192334,682.5189061067013,2951.7,238.09300003710035,86.65700991257722,9.315929912033376,0.1827322530606038,0.0665077539547691,99.64146940474748,0.6215640822052441,0.2262262427898708,103317.56666666668,10442.132649937412,3800.548493290734,32.6,56.4391117340921,20.54174068215431,14.990889136474207,3.5460047778967234,1.2906140505615884,0.0,0.0,0.0659,0.0,0.0,0.0,0.0,0.0,0.0659,0.0,0.0,0.0112
